,Month,Sex,State,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths,Total Deaths
123,01-2020,Male,Iowa,5197.0,3862.0,30.0,40780.0
124,01-2020,Male,Kansas,3890.0,3411.0,52.0,37006.0
125,01-2020,Male,Kentucky,4755.0,6864.0,59.0,68576.0
126,01-2020,Male,Louisiana,8293.0,6727.0,25.0,70759.0
127,01-2020,Male,Maine,338.0,1025.0,10.0,18453.0
128,01-2020,Male,Maryland,7628.0,6650.0,71.0,71103.0
129,01-2020,Male,Massachusetts,10329.0,8404.0,134.0,77910.0
130,01-2020,Male,Michigan,14475.0,13952.0,188.0,136959.0
131,01-2020,Male,Minnesota,6296.0,5096.0,67.0,60183.0
132,01-2020,Male,Mississippi,5770.0,5952.0,27.0,48326.0
133,01-2020,Male,Missouri,8942.0,7944.0,118.0,92120.0
134,01-2020,Male,Montana,1398.0,1176.0,11.0,14839.0
135,01-2020,Male,Nebraska,2556.0,2192.0,11.0,22947.0
136,01-2020,Male,Nevada,4900.0,5893.0,20.0,41164.0
137,01-2020,Male,New Hampshire,735.0,698.0,0.0,15585.0
138,01-2020,Male,New Jersey,22268.0,16315.0,89.0,111360.0
139,01-2020,Male,New Mexico,3471.0,3094.0,15.0,29552.0
140,01-2020,Male,New York,18622.0,17579.0,192.0,136128.0
141,01-2020,Male,New York City,30240.0,16693.0,1389.0,101823.0
142,01-2020,Male,North Carolina,9782.0,11112.0,204.0,131850.0
143,01-2020,Male,North Dakota,1622.0,1337.0,0.0,10545.0
144,01-2020,Male,Ohio,16628.0,15156.0,238.0,169615.0
145,01-2020,Male,Oklahoma,6087.0,6039.0,56.0,56542.0
146,01-2020,Male,Oregon,1684.0,2337.0,49.0,48068.0
147,01-2020,Male,Pennsylvania,19516.0,15660.0,244.0,179823.0
148,01-2020,Male,Puerto Rico,1979.0,5225.0,22.0,40182.0
149,01-2020,Male,Rhode Island,1799.0,1229.0,0.0,13447.0
150,01-2020,Male,South Carolina,6441.0,6445.0,65.0,74098.0
151,01-2020,Male,South Dakota,1793.0,1275.0,0.0,12052.0
152,01-2020,Male,Tennessee,9484.0,11194.0,151.0,109783.0
153,01-2020,Male,Texas,44680.0,40850.0,520.0,320758.0
154,01-2020,Male,United States,467194.0,435299.0,10896.0,4105570.0
155,01-2020,Male,Utah,2009.0,1917.0,34.0,27019.0
156,01-2020,Male,Vermont,71.0,143.0,0.0,6975.0
157,01-2020,Male,Virginia,6839.0,6378.0,68.0,94523.0
158,01-2020,Male,Washington,4209.0,6003.0,88.0,75863.0
159,01-2020,Male,West Virginia,1562.0,2461.0,30.0,31714.0
160,01-2020,Male,Wisconsin,6998.0,5201.0,124.0,73136.0
161,01-2020,Male,Wyoming,405.0,331.0,0.0,6696.0
162,01-2021,All Sexes,Alabama,22797.0,14562.0,0.0,155696.0
163,01-2021,All Sexes,Alaska,1732.0,1256.0,0.0,14360.0
164,01-2021,All Sexes,Arizona,32551.0,27472.0,11.0,188723.0
165,01-2021,All Sexes,Arkansas,12309.0,10819.0,0.0,92110.0
166,01-2021,All Sexes,California,112595.0,105250.0,27.0,763401.0
167,01-2021,All Sexes,Colorado,14182.0,12144.0,0.0,112769.0
168,01-2021,All Sexes,Connecticut,6834.0,5929.0,0.0,77109.0
169,01-2021,All Sexes,Delaware,2603.0,2376.0,0.0,25381.0
170,01-2021,All Sexes,District of Columbia,1399.0,1620.0,0.0,17096.0
171,01-2021,All Sexes,Florida,90274.0,89123.0,22.0,599710.0
172,01-2021,All Sexes,Georgia,40784.0,32294.0,12.0,261325.0
173,01-2021,All Sexes,Hawaii,1489.0,2268.0,0.0,28656.0
174,01-2021,All Sexes,Idaho,6170.0,4683.0,0.0,41170.0
